analysis,ci95_half_width,ci95_high,ci95_low,comparison,mean,metric,n,t_critical,workload
arm_mean,76.82972730732789,505.17820730732785,351.518752692672,homa,428.34847999999994,gt_1MB_fct_us_p95,5,2.7764451051977987,AliStorage2019
arm_mean,149.81679976182787,756.6578877618275,457.02428823817183,homa,606.8410879999997,gt_1MB_fct_us_p99,5,2.7764451051977987,AliStorage2019
arm_mean,16.402188726934305,144.4021887269343,111.5978112730657,homa,128.0,gt_1MB_flow_count,5,2.7764451051977987,AliStorage2019
arm_mean,0.15212725860649073,1.7908578442883003,1.4866033270753187,homa,1.6387305856818095,gt_1MB_slowdown_mean,5,2.7764451051977987,AliStorage2019
arm_mean,0.4906207545009229,3.551444192618989,2.570202683617143,homa,3.060823438118066,gt_1MB_slowdown_p95,5,2.7764451051977987,AliStorage2019
arm_mean,1.198752440502604,5.497796817937896,3.1002919369326882,homa,4.299044377435292,gt_1MB_slowdown_p99,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,guard_adaptive_grant_updates,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,guard_concurrency_limited_allocations,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,guard_concurrency_max_deferred_flows,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,8.0,8.0,homa,8.0,guard_concurrency_min_bdps,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,1.0,1.0,homa,1.0,guard_grant_refresh_bdps,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,guard_min_share_fraction,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,guard_rebalance_events,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,guard_receiver_concurrency,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,1.0,1.0,homa,1.0,guard_remaining_aware,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,1.0,1.0,homa,1.0,guard_remaining_exponent,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,guard_remaining_refresh_events,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,1.0,1.0,homa,1.0,guard_sender_srpt_enabled,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,guard_sender_srpt_forced_rr,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,guard_sender_srpt_non_rr,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,guard_sender_srpt_selections,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,64.0,64.0,homa,64.0,guard_srpt_quantum_packets,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,8.0,8.0,homa,8.0,guard_tail_bypass_bdps,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,1.0,1.0,homa,1.0,guard_tail_bypass_enabled,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,guard_tail_bypass_feedbacks,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,guard_tail_bypass_flows,5,2.7764451051977987,AliStorage2019
arm_mean,235.4278109656767,10007.627810965678,9536.772189034324,homa,9772.2,homa_completion_notices_received,5,2.7764451051977987,AliStorage2019
arm_mean,235.4278109656767,10007.627810965678,9536.772189034324,homa,9772.2,homa_completion_notices_sent,5,2.7764451051977987,AliStorage2019
arm_mean,23629905.847681765,418370079.04768175,371110267.3523182,homa,394740173.2,homa_data_bytes,5,2.7764451051977987,AliStorage2019
arm_mean,23691.837773146548,423302.8377731466,375919.1622268534,homa,399611.0,homa_data_packets,5,2.7764451051977987,AliStorage2019
arm_mean,22496.92590341657,286555.9259034166,241562.07409658344,homa,264059.0,homa_grants_received,5,2.7764451051977987,AliStorage2019
arm_mean,22496.92590341657,286555.9259034166,241562.07409658344,homa,264059.0,homa_grants_sent,5,2.7764451051977987,AliStorage2019
arm_mean,0.5552890210395597,3.3552890210395594,2.2447109789604403,homa,2.8,homa_max_pending_messages,5,2.7764451051977987,AliStorage2019
arm_mean,235.4278109656767,10007.627810965678,9536.772189034324,homa,9772.2,homa_messages_completed,5,2.7764451051977987,AliStorage2019
arm_mean,235.4278109656767,10007.627810965678,9536.772189034324,homa,9772.2,homa_messages_tracked,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,homa_resends_received,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,homa_resends_sent,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,homa_retransmit_packets,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,hpcc_actual_rate_changes,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,hpcc_fast_computations,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,hpcc_feedback_updates,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,hpcc_full_computations,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,hpcc_rate_updates_applied,5,2.7764451051977987,AliStorage2019
