analysis,ci95_half_width,ci95_high,ci95_low,comparison,mean,metric,n,t_critical,workload
arm_mean,17.33146911394973,165.60351111394974,130.94057288605026,homa,148.272042,1BDP_to_1MB_fct_us_p99,5,2.7764451051977987,AliStorage30
arm_mean,7.52206567897262,117.32206567897262,102.27793432102737,homa,109.8,1BDP_to_1MB_flow_count,5,2.7764451051977987,AliStorage30
arm_mean,0.038982773674457794,1.261817918427719,1.1838523710788036,homa,1.2228351447532613,1BDP_to_1MB_slowdown_mean,5,2.7764451051977987,AliStorage30
arm_mean,0.18078900038330165,1.9652908287725759,1.6037128280059725,homa,1.7845018283892742,1BDP_to_1MB_slowdown_p95,5,2.7764451051977987,AliStorage30
arm_mean,0.19236239047540754,2.385689922033876,2.0009651410830607,homa,2.1933275315584684,1BDP_to_1MB_slowdown_p99,5,2.7764451051977987,AliStorage30
arm_mean,0.12983232505708356,9.315807891275476,9.056143241161308,homa,9.185975566218392,8KB_to_1BDP_fct_us_mean,5,2.7764451051977987,AliStorage30
arm_mean,0.4460279115928864,15.535187911592887,14.643132088407116,homa,15.089160000000001,8KB_to_1BDP_fct_us_p95,5,2.7764451051977987,AliStorage30
arm_mean,0.4941416798871207,18.662175679887117,17.673892320112873,homa,18.168033999999995,8KB_to_1BDP_fct_us_p99,5,2.7764451051977987,AliStorage30
arm_mean,36.70162190627516,983.9016219062752,910.4983780937249,homa,947.2,8KB_to_1BDP_flow_count,5,2.7764451051977987,AliStorage30
arm_mean,0.0022107646270908524,1.042414876710314,1.0379933474561325,homa,1.0402041120832233,8KB_to_1BDP_slowdown_mean,5,2.7764451051977987,AliStorage30
arm_mean,0.011486609460810622,1.152022330657359,1.1290491117357377,homa,1.1405357211965483,8KB_to_1BDP_slowdown_p95,5,2.7764451051977987,AliStorage30
arm_mean,0.05110428196243827,1.3869070416640878,1.2846984777392112,homa,1.3358027597016495,8KB_to_1BDP_slowdown_p99,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,homa,0.0,completion_releases,5,2.7764451051977987,AliStorage30
arm_mean,0.0,2.0,2.0,homa,2.0,elapsed_seconds,5,2.7764451051977987,AliStorage30
arm_mean,90.4328704077637,3733.432870407764,3552.567129592236,homa,3643.0,flow_count,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,homa,0.0,grant_binding_rate_changes,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,homa,0.0,grant_binding_updates,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,homa,0.0,grant_bytes_sent,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,homa,0.0,grant_event_rate_changes,5,2.7764451051977987,AliStorage30
