analysis,workload,comparison,metric,n,mean,ci95_low,ci95_high,ci95_half_width
arm_mean,AliStorage2019,no_priority,hpcc_fast_computations,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,no_priority,hpcc_feedback_updates,5,2636.2,2434.576934536878,2837.8230654631216,201.62306546312186
arm_mean,AliStorage2019,no_priority,hpcc_full_computations,5,575.2,464.0852932449747,686.3147067550253,111.11470675502534
arm_mean,AliStorage2019,no_priority,hpcc_rate_updates_applied,5,575.2,464.0852932449747,686.3147067550253,111.11470675502534
arm_mean,AliStorage2019,no_priority,hpcc_valid_feedback,5,662.2,537.843150813774,786.5568491862261,124.35684918622614
arm_mean,AliStorage2019,no_priority,int_hops_after_strip,5,51570.4,46530.32190004797,56610.47809995203,5040.0780999520275
arm_mean,AliStorage2019,no_priority,int_hops_before_strip,5,100923.6,93134.7240521487,108712.47594785132,7788.875947851307
arm_mean,AliStorage2019,no_priority,int_records_stripped,5,49353.2,46519.26663636363,52187.13336363636,2833.933363636367
arm_mean,AliStorage2019,no_priority,irn_nacks_generated,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,no_priority,irn_nacks_received,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,no_priority,irn_retransmit_bytes,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,no_priority,irn_retransmit_packets,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,no_priority,le_8KB_fct_us_mean,5,8.093237675710279,7.730103641726484,8.456371709694073,0.36313403398379485
arm_mean,AliStorage2019,no_priority,le_8KB_fct_us_p95,5,18.502619999999997,15.552106259226427,21.453133740773566,2.950513740773569
arm_mean,AliStorage2019,no_priority,le_8KB_fct_us_p99,5,29.876150000000003,26.000948700230328,33.75135129976968,3.875201299769675
arm_mean,AliStorage2019,no_priority,le_8KB_flow_count,5,6768.4,6682.7314826511065,6854.068517348893,85.66851734889346
arm_mean,AliStorage2019,no_priority,le_8KB_slowdown_mean,5,1.1571708153658702,1.1165464789450963,1.197795151786644,0.04062433642077386
arm_mean,AliStorage2019,no_priority,le_8KB_slowdown_p95,5,2.1238141435142923,1.7863756344468373,2.4612526525817473,0.33743850906745493
arm_mean,AliStorage2019,no_priority,le_8KB_slowdown_p99,5,3.411663010729446,2.96976368234082,3.853562339118072,0.4418993283886258
arm_mean,AliStorage2019,no_priority,long_to_small_slowdown_mean_ratio,5,1.4026927877513646,1.3338343220124487,1.4715512534902806,0.06885846573891592
arm_mean,AliStorage2019,no_priority,max_active_flows,5,3.4,2.719912619341743,4.080087380658257,0.6800873806582569
arm_mean,AliStorage2019,no_priority,overall_fct_us_mean,5,12.99720304053032,11.98611054373405,14.008295537326589,1.0110924967962702
arm_mean,AliStorage2019,no_priority,overall_fct_us_p95,5,26.784220000000015,23.562182453917753,30.006257546082278,3.222037546082261
arm_mean,AliStorage2019,no_priority,overall_fct_us_p99,5,166.41050600000085,153.05963662129642,179.76137537870528,13.350869378704429
arm_mean,AliStorage2019,no_priority,overall_flow_count,5,9744.4,9648.094568001248,9840.705431998751,96.30543199875206
arm_mean,AliStorage2019,no_priority,overall_slowdown_mean,5,1.1807561273998268,1.1382382319975477,1.223274022802106,0.042517895402279106
arm_mean,AliStorage2019,no_priority,overall_slowdown_p95,5,2.1720267171267245,1.8722767650217553,2.4717766692316934,0.2997499521049691
arm_mean,AliStorage2019,no_priority,overall_slowdown_p99,5,3.3511544283355654,2.944146210279455,3.7581626463916757,0.40700821805611037
arm_mean,AliStorage2019,no_priority,pfc_pause_events,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,no_priority,pfc_resume_events,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,no_priority,proactive_releases,5,579.2,547.4779755612767,610.9220244387234,31.722024438723352
arm_mean,AliStorage2019,no_priority,queue_bytes_max,5,488835.2,414063.82987240073,563606.5701275993,74771.37012759926
arm_mean,AliStorage2019,no_priority,queue_bytes_mean,5,2975.6196,2113.669778865059,3837.569421134941,861.949821134941
arm_mean,AliStorage2019,no_priority,queue_bytes_p95,5,838.4,-245.50958978965093,1922.309589789651,1083.909589789651
arm_mean,AliStorage2019,no_priority,queue_bytes_p99,5,113259.2,78552.45608931535,147965.94391068464,34706.74391068465
arm_mean,AliStorage2019,no_priority,queue_sample_count,5,400020.0,400020.0,400020.0,0.0
arm_mean,AliStorage2019,no_priority,reactive_binding_rate_changes,5,167.2,99.51279656466394,234.88720343533603,67.68720343533604
arm_mean,AliStorage2019,no_priority,reactive_binding_updates,5,167.2,99.51279656466394,234.88720343533603,67.68720343533604
arm_mean,AliStorage2019,no_priority,recovery_nacks_generated,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,no_priority,recovery_nacks_received,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,no_priority,registrations,5,579.2,547.4779755612767,610.9220244387234,31.722024438723352
arm_mean,AliStorage2019,no_priority,selected_registrations,5,579.2,547.4779755612767,610.9220244387234,31.722024438723352
arm_mean,AliStorage2019,no_priority,tie_binding_rate_changes,5,11.8,10.439825238683486,13.160174761316515,1.3601747613165138
arm_mean,AliStorage2019,no_priority,tie_binding_updates,5,358.8,296.93198087050405,420.668019129496,61.86801912949594
arm_mean,AliStorage2019,no_priority,timeout_recoveries,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,no_srpt,1BDP_to_1MB_fct_us_mean,5,46.058152138485795,41.650427558692584,50.465876718279006,4.407724579793211
arm_mean,AliStorage2019,no_srpt,1BDP_to_1MB_fct_us_p95,5,127.52438000000004,103.74618545757029,151.30257454242977,23.77819454242974
arm_mean,AliStorage2019,no_srpt,1BDP_to_1MB_fct_us_p99,5,229.59921000000003,170.79982488061964,288.3985951193804,58.79938511938039
arm_mean,AliStorage2019,no_srpt,1BDP_to_1MB_flow_count,5,297.6,276.64565541069845,318.5543445893016,20.954344589301556
arm_mean,AliStorage2019,no_srpt,1BDP_to_1MB_slowdown_mean,5,1.277109903668773,1.225896263553925,1.328323543783621,0.05121364011484793
arm_mean,AliStorage2019,no_srpt,1BDP_to_1MB_slowdown_p95,5,1.9603835774235303,1.6942649825630969,2.2265021722839635,0.2661185948604334
arm_mean,AliStorage2019,no_srpt,1BDP_to_1MB_slowdown_p99,5,2.8163098064602488,2.0943385305682223,3.5382810823522752,0.7219712758920265
arm_mean,AliStorage2019,no_srpt,8KB_to_1BDP_fct_us_mean,5,9.086303135849601,8.979511621625113,9.193094650074089,0.106791514224489
arm_mean,AliStorage2019,no_srpt,8KB_to_1BDP_fct_us_p95,5,15.077099999999998,14.827204736101644,15.326995263898352,0.24989526389835356
arm_mean,AliStorage2019,no_srpt,8KB_to_1BDP_fct_us_p99,5,19.191319999999983,18.898642794091586,19.48399720590838,0.2926772059083957
arm_mean,AliStorage2019,no_srpt,8KB_to_1BDP_flow_count,5,2543.2,2472.5374265877554,2613.8625734122443,70.66257341224427
arm_mean,AliStorage2019,no_srpt,8KB_to_1BDP_slowdown_mean,5,1.057371888496501,1.053398909037947,1.0613448679550552,0.003972979458554201
arm_mean,AliStorage2019,no_srpt,8KB_to_1BDP_slowdown_p95,5,1.279030759312764,1.2504273332218032,1.307634185403725,0.028603426090960987
arm_mean,AliStorage2019,no_srpt,8KB_to_1BDP_slowdown_p99,5,1.518163352224561,1.45816806936904,1.578158635080082,0.05999528285552098
arm_mean,AliStorage2019,no_srpt,aggregate_goodput_gbps,5,160.8475782479208,152.01286550038122,169.6822909954604,8.834712747539577
arm_mean,AliStorage2019,no_srpt,completion_releases,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,no_srpt,completion_span_us,5,20044.431,19977.664942644074,20111.197057355927,66.76605735592426
arm_mean,AliStorage2019,no_srpt,grant_binding_rate_changes,5,1.2,-0.16017476131651387,2.560174761316514,1.3601747613165138
arm_mean,AliStorage2019,no_srpt,grant_binding_updates,5,44.8,12.739571941830583,76.86042805816942,32.060428058169414
arm_mean,AliStorage2019,no_srpt,grant_bytes_sent,5,457723.6,404956.0580605759,510491.14193942404,52767.54193942407
arm_mean,AliStorage2019,no_srpt,grant_event_rate_changes,5,1002.6,462.88120929733486,1542.3187907026652,539.7187907026652
arm_mean,AliStorage2019,no_srpt,grants_received,5,4869.4,4308.0431708571905,5430.756829142809,561.3568291428093
arm_mean,AliStorage2019,no_srpt,grants_sent,5,4869.4,4308.0431708571905,5430.756829142809,561.3568291428093
arm_mean,AliStorage2019,no_srpt,gt_1MB_fct_us_mean,5,228.78407529774935,209.13512128903938,248.43302930645933,19.648954008709975
arm_mean,AliStorage2019,no_srpt,gt_1MB_fct_us_p95,5,453.70938000000007,359.1206223322824,548.2981376677178,94.5887576677177
arm_mean,AliStorage2019,no_srpt,gt_1MB_fct_us_p99,5,596.4375079999999,442.1915722736712,750.6834437263285,154.2459357263286
arm_mean,AliStorage2019,no_srpt,gt_1MB_flow_count,5,135.2,123.63851452880962,146.76148547119035,11.56148547119037
arm_mean,AliStorage2019,no_srpt,gt_1MB_slowdown_mean,5,1.6711289380530925,1.5530419132311133,1.7892159628750717,0.1180870248219792
arm_mean,AliStorage2019,no_srpt,gt_1MB_slowdown_p95,5,3.030548547809876,2.521185242290046,3.5399118533297065,0.5093633055198306
