workload,seed,arm,metric,value
AliStorage2019,11,no_srpt,8KB_to_1BDP_flow_count,2599.0
AliStorage2019,11,no_srpt,8KB_to_1BDP_slowdown_mean,1.059671171912565
AliStorage2019,11,no_srpt,8KB_to_1BDP_slowdown_p95,1.2955517033834514
AliStorage2019,11,no_srpt,8KB_to_1BDP_slowdown_p99,1.5631101648278287
AliStorage2019,11,no_srpt,aggregate_goodput_gbps,171.8319123637815
AliStorage2019,11,no_srpt,completion_releases,0.0
AliStorage2019,11,no_srpt,completion_span_us,20053.444
AliStorage2019,11,no_srpt,grant_binding_rate_changes,2.0
AliStorage2019,11,no_srpt,grant_binding_updates,84.0
AliStorage2019,11,no_srpt,grant_bytes_sent,521136.0
AliStorage2019,11,no_srpt,grant_event_rate_changes,1681.0
AliStorage2019,11,no_srpt,grants_received,5544.0
AliStorage2019,11,no_srpt,grants_sent,5544.0
AliStorage2019,11,no_srpt,gt_1MB_fct_us_mean,245.23001324503315
AliStorage2019,11,no_srpt,gt_1MB_fct_us_p95,519.4635
AliStorage2019,11,no_srpt,gt_1MB_fct_us_p99,635.418
AliStorage2019,11,no_srpt,gt_1MB_flow_count,151.0
AliStorage2019,11,no_srpt,gt_1MB_slowdown_mean,1.774727414420599
AliStorage2019,11,no_srpt,gt_1MB_slowdown_p95,3.561163356808433
AliStorage2019,11,no_srpt,gt_1MB_slowdown_p99,4.006852132090349
AliStorage2019,11,no_srpt,guard_ack_interval_packets,8.0
AliStorage2019,11,no_srpt,guard_adaptive_grant_updates,0.0
AliStorage2019,11,no_srpt,guard_fixed_window,1.0
